directory,purpose,file_count,total_size_bytes,tracked_count,ignored_count,canonical,active,historical,publication_relevant,duplication_risk,recommended_future_action,notes
submission_package/ejco_reproducibility_artifact/experiments/exp3_exact_small/summary,supporting,2,4908,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp3_exact_small/tables,supporting,1,9099,0,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp4_external_baselines,supporting,5,28337,5,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp4_external_baselines/configs,supporting,2,5013,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp4_external_baselines/summary,supporting,5,19808,4,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp4_external_baselines/tables,supporting,2,23409,0,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp5_lolib_dense,supporting,4,25326,4,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp5_lolib_dense/configs,supporting,4,11425,4,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp5_lolib_dense/summary,supporting,4,13981,4,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp5_lolib_dense/tables,supporting,2,5568,0,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp6_ipsns_budget_curve,supporting,1,1365,1,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp6_ipsns_budget_curve/config,supporting,1,1807,0,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp6_ipsns_budget_curve/summary,supporting,3,12872,1,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp7_plain_local_search,supporting,1,2561,1,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp7_plain_local_search/config,supporting,1,1807,0,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp7_plain_local_search/summary,supporting,3,11689,1,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp8_medium_mip_baseline,supporting,2,4842,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp8_medium_mip_baseline/config,supporting,3,2520,2,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp8_medium_mip_baseline/summary,supporting,6,8373,4,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp9_application_case,supporting,2,80892,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp9_application_case/config,supporting,3,2743,2,1,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp9_application_case/converted,supporting,2,7898,2,0,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/experiments/exp9_application_case/summary,supporting,3,1894,1,2,partial,no,yes,yes,high,archive_label,
submission_package/ejco_reproducibility_artifact/scripts,supporting,24,144964,24,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_reproducibility_artifact/src/mwfas,supporting,8,69469,8,0,yes,no,yes,yes,high,archive_label,
submission_package/ejco_source,supporting,5,90424,5,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_source/declarations,supporting,5,1458,5,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_source/figures,supporting,5,65351,5,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_source/sections,supporting,8,83402,8,0,partial,no,yes,no,high,archive_label,
submission_package/ejco_source/tables,supporting,13,14432,13,0,partial,no,yes,no,high,archive_label,
submission_package/files_for_upload,supporting,5,1108338,0,5,partial,no,yes,no,high,archive_label,
tests,supporting,1,965,1,0,partial,yes,no,yes,low,retain,
tests/__pycache__,supporting,1,2307,0,1,partial,yes,no,yes,low,retain,
tests/data/expected_results,supporting,1,945,1,0,partial,yes,no,yes,low,retain,
tests/data/tiny_graphs,supporting,3,133,3,0,partial,yes,no,yes,low,retain,
tests/helpers,supporting,3,5494,3,0,partial,yes,no,yes,low,retain,
tests/helpers/__pycache__,supporting,3,9338,0,3,partial,yes,no,yes,low,retain,
tests/property,supporting,1,2395,1,0,partial,yes,no,yes,low,retain,
tests/property/__pycache__,supporting,1,7843,0,1,partial,yes,no,yes,low,retain,
tests/regression,supporting,5,10046,5,0,partial,yes,no,yes,low,retain,
tests/regression/__pycache__,supporting,5,39746,0,5,partial,yes,no,yes,low,retain,
tests/unit,supporting,9,26009,9,0,partial,yes,no,yes,low,retain,
tests/unit/__pycache__,supporting,9,105955,0,9,partial,yes,no,yes,low,retain,
